"コード","会社名","旧会社名","市場","選択","取引市場","業種","資本金","単位株数","備考"
101,"日経先物","","指数","○","指数","","","","",""
102,"CME先物","","指数","○","指数","","","","",""
103,"SIMEX先物","","指数","○","指数","","","","",""
104,"日経平均ﾄﾞﾙ換算","","指数","○","指数","","","","",""
106,"TOPIX先物","","指数","○","指数","","","","",""
107,"東証１単純平均","","指数","○","指数","","","","",""
108,"東証２単純平均","","指数","○","指数","","","","",""
109,"大証１単純平均","","指数","○","指数","","","","",""
110,"大証２単純平均","","指数","○","指数","","","","",""
111,"店頭単純平均","","指数","○","指数","","","","",""
112,"東証大型株","","指数","○","指数","","","","",""
113,"東証中型株","","指数","○","指数","","","","",""
114,"東証小型株","","指数","○","指数","","","","",""
115,"日経店頭平均","","指数","○","指数","","","","",""
116,"JASDAQ指数","","指数","○","指数","","","","",""
117,"東証１時価総額","","指数","○","指数","","","","",""
118,"東証２時価総額","","指数","○","指数","","","","",""
119,"大証１時価総額","","指数","○","指数","","","","",""
120,"大証２時価総額","","指数","○","指数","","","","",""
121,"店頭時価総額","","指数","○","指数","","","","",""
122,"NT倍率","","指数","○","指数","","","","",""
123,"TOPIXﾄﾞﾙ換算","","指数","○","指数","","","","",""
124,"店頭平均ﾄﾞﾙ換算","","指数","○","指数","","","","",""
200,"ＮＹﾀﾞｳ(ｱﾒﾘｶ)","","指数","○","指数","","","","",""
201,"S&P500(ｱﾒﾘｶ)","","指数","○","指数","","","","",""
202,"NASDAQ(ｱﾒﾘｶ)","","指数","○","指数","","","","",""
203,"FT100(ｱﾒﾘｶ)","","指数","○","指数","","","","",""
204,"DAX(ﾄﾞｲﾂ)","","指数","○","指数","","","","",""
205,"CAC40(ﾌﾗﾝｽ)","","指数","○","指数","","","","",""
206,"MIBTel(ｲﾀﾘｱ)","","指数","○","指数","","","","",""
207,"ﾄﾛﾝﾄ総合(ｶﾅﾀﾞ)","","指数","○","指数","","","","",""
208,"ﾓｽｸﾜﾀｲﾑｽﾞ(ﾛｼｱ)","","指数","○","指数","","","","",""
300,"ﾊﾝｾﾝ（香港）","","指数","○","指数","","","","",""
301,"ｿｳﾙ総合（韓国）","","指数","○","指数","","","","",""
302,"ST(ｼﾝｶﾞﾎﾟｰﾙ)","","指数","○","指数","","","","",""
303,"KL総合(ﾏﾚｰｼｱ)","","指数","○","指数","","","","",""
304,"SET(ﾀｲ)","","指数","○","指数","","","","",""
305,"上海総合（中国）","","指数","○","指数","","","","",""
400,"Bove(ﾌﾞﾗｼﾞﾙ)","","指数","○","指数","","","","",""
401,"ＩＰＣ(ﾒｷｼｺ)","","指数","○","指数","","","","",""
402,"ＩＧＰＡ(ﾁﾘ)","","指数","○","指数","","","","",""
403,"リマ総合(ﾍﾟﾙｰ)","","指数","○","指数","","","","",""
404,"IBC(ﾍﾞﾈｽﾞｴﾗ)","","指数","○","指数","","","","",""
500,"円／ドル","","指数","○","指数","","","","",""
501,"円／ユーロ","","指数","○","指数","","","","",""
