"日付","始値","高値","安値","終値","前日比","出来高","売残","買残"
2007/02/14,420,473,361,444,,9422,,
2007/02/15,394,407,394,394,,2443,,
2007/02/16,384,393,354,363,,4284,,
2007/02/19,367,394,356,369,,2618,,
2007/02/20,372,381,360,366,,1301,,
2007/02/21,366,367,343,345,,877,,
2007/02/22,346,371,346,366,,1186,,
2007/02/23,365,365,345,349,,657,,
2007/02/26,359,360,350,355,,177,,
2007/02/27,353,354,338,343,,334,,
2007/02/28,308,328,301,315,,325,,
2007/03/01,323,323,305,316,,305,,
2007/03/02,315,325,307,322,,224,,
2007/03/05,315,318,284,285,,180,,
2007/03/06,289,304,285,300,,91,,
2007/03/07,310,310,294,294,,72,,
2007/03/08,290,294,286,294,,47,,
2007/03/09,298,301,292,297,,78,,
2007/03/12,301,337,295,328,,246,,
2007/03/13,318,324,308,308,,180,,
2007/03/14,299,301,286,293,,124,,
2007/03/15,304,304,296,297,,34,,
2007/03/16,296,298,290,291,,40,,
2007/03/19,289,295,284,290,,63,,
2007/03/20,295,297,287,293,,69,,
2007/03/22,301,303,294,298,,100,,
2007/03/23,307,307,291,292,,58,,
2007/03/26,290,298,290,294,,34,,
2007/03/27,298,300,294,294,,27,,
2007/03/28,296,303,295,301,,66,,
2007/03/29,304,325,303,312,,127,,
2007/03/30,314,324,306,318,,72,,
2007/04/02,318,318,302,302,,58,,
2007/04/03,300,306,297,305,,60,,
2007/04/04,307,316,300,316,,73,,
2007/04/05,316,316,302,309,,91,,
2007/04/06,304,304,295,300,,18,,
2007/04/09,300,300,293,297,,20,,
2007/04/10,300,309,292,306,,71,,
2007/04/11,308,339,300,320,,488,,
2007/04/12,315,316,302,303,,131,,
2007/04/13,308,308,291,291,,126,,
2007/04/16,290,291,284,285,,71,,
2007/04/17,289,292,285,285,,35,,
2007/04/18,285,285,280,285,,24,,
2007/04/19,300,324,285,288,,363,,
2007/04/20,290,290,276,280,,88,,
2007/04/23,284,291,277,277,,59,,
2007/04/24,278,280,277,278,,22,,
2007/04/25,290,295,283,287,,45,,
2007/04/26,284,287,283,286,,18,,
2007/04/27,286,289,286,289,,20,,
2007/05/01,295,300,294,297,,38,,
2007/05/02,301,301,292,298,,28,,
2007/05/07,300,303,294,297,,22,,
2007/05/08,295,295,285,286,,31,,
2007/05/09,285,287,282,286,,10,,
2007/05/10,285,286,273,273,,45,,
2007/05/11,265,270,250,259,,162,,
2007/05/14,258,258,234,237,,65,,
2007/05/15,231,239,230,236,,49,,
2007/05/16,237,238,228,229,,14,,
2007/05/17,225,230,224,229,,34,,
2007/05/18,230,230,222,227,,12,,
2007/05/21,215,224,215,216,,59,,
2007/05/22,216,237,216,236,,39,,
2007/05/23,230,235,225,235,,19,,
2007/05/24,227,228,226,227,,6,,
2007/05/25,231,231,221,228,,48,,
2007/05/28,224,233,224,233,,9,,
2007/05/29,229,232,227,227,,25,,
2007/05/30,232,232,228,228,,12,,
2007/05/31,230,230,227,227,,3,,
2007/06/01,230,230,226,226,,7,,
2007/06/04,227,230,225,225,,23,,
2007/06/05,225,225,220,224,,15,,
2007/06/06,220,221,219,221,,20,,
2007/06/07,222,222,221,221,,3,,
2007/06/08,219,222,219,219,,8,,
2007/06/11,220,223,220,223,,13,,
2007/06/12,221,221,219,219,,9,,
2007/06/13,218,218,201,201,,43,,
2007/06/14,207,215,205,215,,33,,
2007/06/15,215,215,206,214,,22,,
2007/06/18,214,216,214,215,,16,,
2007/06/19,217,234,217,226,,54,,
2007/06/20,234,244,232,241,,85,,
2007/06/21,236,237,228,232,,30,,
2007/06/22,233,240,230,240,,42,,
2007/06/25,244,250,244,249,,39,,
2007/06/26,247,247,231,237,,29,,
2007/06/27,232,240,232,240,,13,,
2007/06/28,237,237,227,232,,13,,
2007/06/29,232,232,228,230,,4,,
2007/07/02,230,231,230,230,,10,,
2007/07/03,214,218,212,212,,114,,
2007/07/04,215,215,201,205,,82,,
2007/07/05,202,204,199,201,,38,,
2007/07/06,201,201,191,199,,45,,
2007/07/09,202,203,193,195,,41,,
2007/07/10,198,199,198,199,,6,,
2007/07/11,198,198,192,192,,12,,
2007/07/12,192,192,192,192,,2,,
2007/07/13,191,191,191,191,,3,,
2007/07/17,192,192,190,190,,10,,
2007/07/18,190,190,188,188,,7,,
2007/07/19,185,190,180,190,,20,,
2007/07/20,200,200,183,183,,24,,
2007/07/23,165,167,155,162,,70,,
2007/07/24,163,163,156,159,,28,,
2007/07/25,162,162,159,161,,14,,
2007/07/26,157,157,153,156,,15,,
2007/07/27,153,155,150,151,,7,,
2007/07/30,148,159,146,159,,20,,
2007/07/31,174,174,170,170,,24,,
2007/08/01,167,167,156,156,,5,,
2007/08/02,159,159,158,158,,7,,
2007/08/03,158,160,157,160,,6,,
2007/08/06,161,161,161,161,,1,,
2007/08/07,163,163,160,160,,5,,
2007/08/08,154,160,151,160,,42,,
2007/08/09,157,161,157,161,,10,,
2007/08/10,152,156,151,156,,25,,
2007/08/13,159,159,159,159,,1,,
2007/08/14,154,160,154,160,,4,,
2007/08/15,153,159,151,159,,4,,
2007/08/16,150,150,150,150,,100,,
2007/08/17,149,149,149,149,,1,,
2007/08/20,146,146,145,145,,4,,
2007/08/21,149,149,149,149,,1,,
2007/08/22,144,144,135,140,,29,,
2007/08/23,142,142,142,142,,6,,
2007/08/24,153,154,153,154,,11,,
2007/08/27,155,155,155,155,,11,,
2007/08/28,152,152,152,152,,1,,
2007/08/31,146,149,146,148,,16,,
2007/09/03,147,157,140,157,,11,,
2007/09/04,156,156,156,156,,2,,
2007/09/05,153,153,150,150,,11,,
2007/09/07,140,141,140,141,,4,,
2007/09/10,133,135,130,135,,18,,
2007/09/11,123,123,119,121,,26,,
2007/09/12,125,125,122,122,,8,,
2007/09/13,121,121,121,121,,3,,
2007/09/14,113,114,110,111,,11,,
2007/09/18,115,117,112,112,,9,,
2007/09/19,116,118,114,116,,12,,
2007/09/20,115,115,115,115,,2,,
2007/09/21,114,114,112,114,,6,,
2007/09/25,120,124,120,120,,29,,
2007/09/26,120,125,115,120,,10,,
2007/09/27,120,128,120,128,,6,,
2007/09/28,130,130,124,127,,6,,
2007/10/02,134,134,132,132,,4,,
2007/10/03,136,141,131,141,,15,,
2007/10/04,143,148,143,144,,13,,
2007/10/05,146,146,141,142,,12,,
2007/10/09,143,150,142,150,,11,,
2007/10/10,159,159,152,155,,70,,
2007/10/11,156,163,156,159,,48,,
2007/10/12,162,162,157,158,,43,,
2007/10/15,159,159,145,150,,19,,
2007/10/16,139,139,138,138,,6,,
2007/10/17,137,137,134,134,,10,,
2007/10/18,134,139,132,139,,11,,
2007/10/19,132,134,132,134,,9,,
2007/10/22,130,130,130,130,,7,,
2007/10/23,129,129,129,129,,1,,
2007/10/24,131,132,131,132,,11,,
2007/10/25,146,146,137,139,,18,,
2007/10/26,129,133,127,131,,7,,
2007/10/29,128,128,128,128,,3,,
2007/10/30,131,133,129,133,,9,,
2007/10/31,143,143,140,143,,16,,
2007/11/01,133,140,133,140,,4,,
2007/11/02,132,133,132,133,,5,,
2007/11/05,133,133,133,133,,1,,
2007/11/06,127,128,127,127,,13,,
2007/11/07,125,126,120,120,,14,,
2007/11/08,108,114,108,112,,17,,
2007/11/09,122,123,112,113,,11,,
2007/11/12,99,110,99,110,,9,,
2007/11/13,110,121,110,121,,16,,
